Norte;Este ;Muestra;zona;MgO;Al2O3;SiO2;P2O5;S;Cl;K2O;CaO;TiO2;V;Cr;MnO;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Ba;La;Ce;Hf;Ta;W;Au;Hg;Tl;Pb;Bi;Th;U
6984667;361685;1;1;3.637;4.020;8.196;0.462;0.000;0.051;0.204;45.085;0.268;0.082;0.021;0.152;36.219;0.121;0.000;0.018;0.002;0.000;0.000;0.002;0.000;0.003;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.009;0.006;0.008;0.017;0.012;0.000
6984667;361685;1;1;3.395;3.628;13.741;0.006;0.000;0.000;0.064;2.224;0.380;0.112;0.000;0.098;36.937;0.031;0.067;0.023;0.005;0.000;0.000;0.019;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.064;0.049;0.000;0.000
6984667;361685;1;1;4.754;2.421;9.943;0.024;0.000;0.001;0.074;0.704;0.286;0.262;0.000;0.119;41.791;0.127;0.073;0.014;0.004;0.000;0.000;0.023;0.000;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.000;0.000;0.077;0.059;0.000;0.000
6976358;356942;2;1;13.562;1.283;34.048;0.092;0.952;0.227;0.010;11.421;0.061;0.035;0.000;0.070;15.355;0.018;0.029;0.010;0.003;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.005;0.005;0.000;0.000
6976358;356942;2;1;4.523;2.425;9.636;0.005;0.008;0.000;0.078;1.588;0.089;0.267;0.000;0.141;47.725;0.396;0.073;0.019;0.005;0.000;0.000;0.025;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.068;0.070;0.009;0.000
6976358;356942;2;1;2.971;2.501;7.803;0.000;0.059;0.332;0.000;8.335;0.000;0.000;0.000;0.130;35.066;0.048;0.015;4.261;0.000;0.002;0.000;0.011;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.037;0.029;0.000;0.000
6976358;356942;2;1;2.570;1.735;7.991;0.252;0.117;2.982;0.131;0.837;0.000;0.017;0.000;0.046;29.021;0.672;0.131;47.976;0.000;0.064;0.000;0.021;0.000;1.196;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.024;0.000;0.000;0.000;0.000;0.000;0.073;0.043;0.001;0.040
6976358;356942;2;1;0.000;3.050;34.513;0.093;0.230;0.212;0.263;0.740;0.000;0.000;0.000;0.874;21.485;0.000;0.012;0.058;0.003;0.000;0.000;0.004;0.000;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.022;0.010;0.000;0.000
6976358;356942;2;1;2.753;1.760;6.218;0.045;0.176;0.262;0.000;15.742;0.000;0.000;0.000;0.650;37.049;0.104;0.018;0.085;0.003;0.009;0.000;0.007;0.000;0.004;0.000;0.000;0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.004;0.004;0.025;0.021;0.000;0.000
6976358;356942;2;1;2.652;4.829;38.943;0.103;0.126;0.093;0.270;0.767;0.014;0.005;0.000;0.323;17.680;0.000;0.023;1.844;0.004;0.043;0.000;0.002;0.000;0.059;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.019;0.000;0.000;0.000;0.000;0.002;0.012;0.007;0.000;0.000
6976358;356942;2;1;4.912;3.698;28.351;0.041;0.103;0.144;0.231;0.734;0.000;0.008;0.000;0.353;29.797;0.190;0.019;6.319;0.000;0.122;0.000;0.009;0.000;0.025;0.000;0.000;0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.037;0.021;0.000;0.000
6976358;356942;2;1;1.776;5.029;35.087;0.933;0.021;0.039;0.052;16.311;0.373;0.013;0.000;0.518;5.702;0.000;0.006;0.033;0.117;0.005;0.000;0.000;0.005;0.007;0.014;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.341;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.003;0.006;0.000
6976358;356942;2;1;1.873;6.719;31.999;0.218;0.140;0.068;0.000;19.192;0.339;0.016;0.000;0.355;5.441;0.000;0.003;0.029;0.057;0.002;0.000;0.000;0.001;0.005;0.005;0.001;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.001;0.000;0.000;0.004;0.000;0.000;0.000
6976358;356942;2;1;1.169;6.471;24.493;0.205;0.074;0.068;0.000;20.874;0.263;0.000;0.000;0.301;5.099;0.000;0.003;0.019;0.053;0.003;0.000;0.000;0.008;0.003;0.004;0.002;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6976358;356942;2;1;13.923;17.335;32.387;0.000;0.340;0.218;0.144;0.775;0.574;0.007;0.000;0.468;21.195;0.085;0.010;0.026;0.010;0.006;0.000;0.002;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.104;0.000;0.000;0.000;0.001;0.000;0.002;0.000;0.000;0.009;0.004;0.000;0.000
