Este;Norte;nu;yhat;V1;resp
361685;6984667;0.1412816;0.041435677;0.0031;1
361685;6984667;0.1756245;0.061694341;0.0127;1
356942;6976358;0.4647179;0.015571622;0.0018;1
356942;6976358;0.000001;0.133522805;0.0672;1
356942;6976358;0.01362116;0.053887489;0.019;1
356942;6976358;0.9454308;0;0;0
356942;6976358;0.9722401;0;0;0
356942;6976358;0.877488;0;0;0
356942;6976358;0.002995448;0.035959014;0.0085;1
356942;6976358;0.9999844;0;0;0
356942;6976358;0.9986021;0;0;0
355807;6974352;0.8074906;0;0;0
355807;6974352;0.000002301673;0.114327064;0.0649;1
355807;6974352;0.8003795;0;0;0
355807;6974352;0.8563983;0;0;0
355807;6974352;0.999999;0;0;0
355807;6974352;0.9999986;0;0.0211;1
356833;6973191;0.8836008;0;0;0
356833;6973191;0.9999525;0;0;0
355855;6974169;0.1336549;0.029853303;0.0098;1
355855;6974169;0.07671432;0.066827661;0.02;1
355855;6974169;0.2082483;0.048355649;0.0269;1
358549;6973267;0.9287517;0;0;0
358549;6973267;0.1040181;0.046650995;0.0227;1
358549;6973267;0.1254208;0.063601896;0.018;1
358549;6973267;0.01155352;0.079528103;0.0474;1
358549;6973267;0.1030524;0.093492977;0.0369;1
358549;6973267;0.8090084;0;0;0
358549;6973267;0.4788119;0.024375628;0;0
358549;6973267;0.01202316;0.026368117;0.0023;1
358549;6973267;0.995438;0;0;0
358329;6973434;0.4044371;0.017711432;0.0039;1
358329;6973434;0.6146083;0.013628502;0;0
358329;6973434;0.9833384;0;0;0
358329;6973434;0.9351965;0;0;0
357950;6970981;0.997278;0;0;0
357950;6970981;0.06081711;0.035040169;0.0059;1
357950;6970981;0.219573;0.018959708;0.0019;1
357950;6970981;0.9988447;0;0;0
357950;6970981;0.6315013;0.01501323;0.0054;1
357950;6970981;0.2432294;0.026864728;0.0071;1
357950;6970981;0.7698421;0;0;0
357950;6970981;0.04193139;0.04336348;0.0082;1
357950;6970981;0.7234276;0;0;0
357950;6970981;0.9989893;0;0;0
357950;6970981;0.06541829;0.029951797;0.0058;1
358147;6970968;0.1149897;0.060505786;0.0256;1
358147;6970968;0.8372835;0;0;0
358147;6970968;0.000006954209;0.025553608;0.0024;1
358147;6970968;0.06907199;0.021992564;0.0006;1
358147;6970968;0.6194659;0.017207001;0;0
358147;6970968;0.9969101;0;0;0
358147;6970968;0.99983;0;0;0
358147;6970968;0.05170411;0.059148498;0.0209;1
358147;6970968;0.9587583;0;0;0
358147;6970968;0.9362636;0;0;0
361030;6963859;0.9567927;0;0;0
361030;6963859;0.9995593;0;0;0
361030;6963859;0.00651953;0.054891046;0.0079;1
361030;6963859;0.9986378;0;0;0
407694;7006879;0.8905404;0;0.0001;1
407694;7006879;0.3701857;0.010703024;0;0
407740;7006939;0.8431227;0;0;0
407740;7006939;0.9162764;0;0;0
408010;7007138;0.9340376;0;0;0
408010;7007138;0.3930817;0.010193366;0;0
407185;7006064;0.991707;0;0;0
407417;7007366;0.9098726;0;0;0
407417;7007366;0.943492;0;0;0
407417;7007366;0.9989961;0;0;0
407417;7007366;0.1749454;0.013634637;0;0
407417;7007366;0.000001;0.045861527;0.0065;1
407417;7007366;0.3235805;0.012178003;0.002;1
407419;7007362;0.9997813;0;0;0
407419;7007362;0.9999989;0;0;0
407419;7007362;0.611336;0.004605544;0.0008;1
407419;7007362;0.9906855;0;0;0
407419;7007362;0.000001;0.034610567;0.0058;1
407419;7007362;0.000429398;0.05368983;0.0124;1
407419;7007362;0.7189773;0;0.0001;1
407419;7007362;0.97505;0;0;0
407419;7007362;0.9992694;0;0;0
407419;7007362;0.999999;0;0;0
407419;7007362;0.9280204;0;0;0
407185;7006064;0.9950464;0;0;0
405355;7006379;0.999902;0;0;0
405355;7006379;0.999999;0;0;0
405355;7006379;0.7604084;0;0;0
405355;7006379;0.9140151;0;0;0
405355;7006379;0.9308965;0;0;0
405355;7006379;0.2124187;0.014829546;0.0024;1
405355;7006379;0.999999;0;0;0
405355;7006379;0.9305092;0;0;0
405354;7006362;0.9966744;0;0;0
405354;7006362;0.9991835;0;0;0
405354;7006362;0.322379;0.008777218;0.0001;1
405361;7006403;0.9951058;0;0;0
405361;7006403;0.9660219;0;0;0
405361;7006403;0.9999716;0;0;0
405361;7006403;0.01657569;0.022009955;0.0016;1
405361;7006403;0.9997717;0;0;0
405375;7006438;0.999028;0;0;0
405375;7006438;0.4211741;0.005747286;0;0
405375;7006438;0.9958925;0;0;0
405395;7006580;0.1657958;0.028001918;0.0024;1
405395;7006580;0.9575778;0;0;0
405395;7006580;0.999999;0;0;0
405395;7006580;0.9999669;0;0;0
405192;7006522;0.9998529;0;0;0
405192;7006522;0.272423;0.013470865;0.0009;1
405192;7006522;0.9846459;0;0;0
405192;7006522;0.000001;0.022194146;0.0015;1
405192;7006522;0.8425932;0;0;0
405192;7006522;0.1363187;0.014537851;0.0005;1
405143;7006516;0.8003936;0;0;0
405143;7006516;0.4964911;0.011496252;0;0
405143;7006516;0.4106489;0.008464602;0;0
405142;7006493;0.999999;0;0;0
405142;7006493;0.8479438;0;0;0
405026;7006428;0.9376014;0;0;0
405026;7006428;0.3529238;0.010705952;0.0004;1
405026;7006428;0.4525105;0.009638208;0;0
405026;7006428;0.344015;0.013565969;0.0009;1
404892;7006421;0.8330391;0;0;0
404892;7006421;0.9002833;0;0;0
404892;7006421;0.979448;0;0;0
404892;7006421;0.8812286;0;0;0
404892;7006421;0.9939284;0;0;0
404875;7006362;0.9999716;0;0;0
404875;7006362;0.000001;0.013610169;0.0005;1
404875;7006362;0.4848999;0.010902666;0.002;1
404875;7006362;0.9788186;0;0;0
404875;7006362;0.9978461;0;0;0
404875;7006362;0.9608442;0;0;0
404875;7006362;0.8954293;0;0;0
404875;7006362;0.9307636;0;0;0
404875;7006362;0.9955687;0;0;0
404248;7005493;0.9999933;0;0;0
404815;7005664;0.9999985;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.9999117;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.9790203;0;0;0
404815;7005664;0.9999989;0;0;0
404726;7005781;0.9989354;0;0;0
404726;7005781;0.999999;0;0;0
404726;7005781;0.9984416;0;0;0
404726;7005781;0.9999914;0;0;0
404724;7005805;0.999999;0;0;0
404909;7006131;0.9892003;0;0;0
404909;7006131;0.9780358;0;0;0
404909;7006131;0.999999;0;0;0
404909;7006131;0.945061;0;0;0
403940;7004454;0.999374;0;0;0
403602;7004521;0.999907;0;0;0
403216;7004812;0.9995661;0;0;0
403293;7004797;0.9410914;0;0;0
403857;7005081;0.9995106;0;0;0
403857;7005081;0.9999732;0;0;0
403857;7005081;0.02128047;0.046057704;0.0129;1
403857;7005081;0.9982952;0;0;0
403857;7005081;0.999999;0;0;0
403857;7005081;0.9287008;0;0;0
403848;7005175;0.9953139;0;0;0
403848;7005175;0.9999975;0;0;0
403848;7005175;0.8689365;0;0;0
403848;7005175;0.9998021;0;0;0
403848;7005175;0.9999938;0;0;0
403848;7005175;0.9999956;0;0;0
403848;7005175;0.999999;0;0;0
403848;7005175;0.9996757;0;0;0
403848;7005175;0.999999;0;0;0
403848;7005175;0.1287578;0.011078334;0.0006;1
403848;7005175;0.4384449;0.007263151;0.0002;1
403848;7005175;0.8532068;0;0;0
403848;7005175;0.9997782;0;0;0
403848;7005175;0.000001;0.065130865;0.0182;1
403848;7005175;0.3398296;0.009351703;0.0005;1
403837;7005216;0.000001;0.018246744;0.0008;1
403837;7005216;0.0006134987;0.016165096;0.001;1
403837;7005216;0.006386864;0.014411043;0.0005;1
403837;7005216;0.9999958;0;0;0
403837;7005216;0.9999555;0;0;0
403837;7005216;0.3441192;0.008058275;0.0004;1
403837;7005216;0.00003884144;0.014096031;0.0005;1
403001;7006637;0.6728172;0.005005303;0;0
403001;7006637;0.9999989;0;0;0
403001;7006637;0.1798246;0.030461883;0;0
403001;7006637;0.999999;0;0;0
402997;7006465;0.999999;0;0;0
402997;7006465;0.9999197;0;0;0
402997;7006465;0.9999038;0;0;0
403604;7006534;0.9104442;0;0;0
403604;7006534;0.9920284;0;0;0
404147;7006874;0.9996254;0;0;0
404981;7006751;0.9961756;0;0;0
404981;7006751;0.9999835;0;0;0
404981;7006751;0.8989168;0;0;0
404981;7006751;0.999999;0;0;0
404981;7006751;0.9605337;0;0;0
404981;7006751;0.999999;0;0;0
359870;6983388;0.834118;0;0;0
359695;6983453;0.002281689;0.052826557;0.0103;1
359695;6983453;0.000001;0.105600149;0.0443;1
359695;6983453;0.0002480345;0.069039863;0.015;1
359695;6983453;0.00002816198;0.049358474;0.0232;1
359878;6983420;0.2033742;0.063927936;0.0164;1
359878;6983420;0.1834249;0.057221302;0.0071;1
359604;6983421;0.9861242;0;0;0
359604;6983421;0.2318522;0.021264416;0.0006;1
359604;6983421;0.8056017;0;0;0
359604;6983421;0.9990166;0;0;0
359766;6983542;0.9710006;0;0;0
359766;6983542;0.7646862;0;0;0
359766;6983542;0.6494533;0.011078258;0;0
359766;6983573;0.3695144;0.025508868;0;0
359766;6983573;0.7828735;0;0;0
359821;6983604;0.0006926319;0.069456223;0.023;1
359821;6983604;0.004629423;0.072606475;0.0279;1
359635;6983017;0.002775758;0.070057904;0.0323;1
359607;6983017;0.9655287;0;0;0
359607;6983017;0.798772;0;0;0
359689;6983048;0.3866077;0.02463306;0;0
359658;6983356;0.001356053;0.113102591;0.0823;1
359658;6983356;0.0001363467;0.061243481;0.0184;1
359658;6983356;0.1107572;0.056321788;0.0313;1
359658;6983356;0.02447272;0.083571194;0.0389;1
359658;6983356;0.1830208;0.021026549;0.0137;1
359737;6983665;0.9667795;0;0;0
359737;6983665;0.8383963;0;0;0
359635;6983017;0.9746974;0;0;0
359635;6983017;0.7146301;0;0;0
359766;6983542;0.07179729;0.059538742;0.0079;1
359767;6983511;0.001172259;0.100360119;0.0775;1
359767;6983511;0.000001;0.125736095;0.0562;1
359767;6983511;0.05314193;0.070414646;0.0202;1
359767;6983511;0.000001;0.047487344;0.0146;1
359767;6983511;0.000001;0.074336579;0.0349;1
359579;6983047;0.1865156;0.034877995;0.0183;1
359579;6983047;0.9647411;0;0;0
359767;6983511;0.0406683;0.0676285;0.0362;1
359767;6983511;0.000001;0.09123709;0.0393;1
359579;6983047;0.0009230115;0.084636123;0.081;1
359579;6983047;0.3063422;0.047313207;0.0141;1
359792;6983665;0.000001;0.095700005;0.0505;1
359716;6983141;0.07833637;0.05483713;0.014;1
359716;6983141;0.002730386;0.059650721;0.0225;1
359576;6983324;0.9387089;0;0;0
359607;6983017;0.6999219;0.004452543;0;0
359544;6983147;0.0001591587;0.12853358;0.061;1
359544;6983147;0.1170129;0.037763623;0.007;1
359536;6983158;0.8971654;0;0;0
359672;6983573;0.6770688;0.005025741;0.0008;1
359545;6983147;0.3039765;0.041076518;0.0048;1
359536;6983143;0.8052164;0;0;0
359532;6983128;0.233114;0.056345689;0.0292;1
359691;6983065;0.1382552;0.073517868;0.0322;1
359696;6983084;0.6071902;0.025025387;0;0
363819;6966868;0.000001;0.132648725;0.0519;1
362975;6967950;0.1142028;0.017368008;0.0022;1
363907;6966361;0.9977258;0;0;0
363907;6966361;0.9999655;0;0;0
363907;6966361;0.08441834;0.1129846;0.1274;1
363907;6966361;0.2683893;0.023525909;0.0141;1
363907;6966361;0.1476535;0.047578944;0.0027;1
362975;6967950;0.04420078;0.059664757;0.0237;1
362933;6967900;0.1625707;0.036646784;0.0057;1
362933;6967900;0.0004747447;0.073692569;0.0299;1
363470;6966050;0.9965496;0;0;0
363160;6968255;0.00005901647;0.083083446;0.0366;1
363846;6967523;0.8069383;0;0;0
362191;6968151;0.9982907;0;0;0
362191;6968151;0.00007220623;0.089377137;0.0338;1
362193;6968218;0.1085721;0.044283786;0.0079;1
362193;6968218;0.04256579;0.033973994;0.0107;1
362200;6968201;0.9967544;0;0;0
362200;6968201;0.9374423;0;0;0
362200;6968201;0.9873255;0;0;0
363012;6967520;0.9659195;0;0;0
363383;6967796;0.7810541;0;0.0013;1
363258;6967400;0.8840089;0;0;0
362108;6968160;0.1998018;0.036034659;0.0147;1
362286;6967916;0.909809;0;0;0
363527;6966881;0.009213104;0.07749497;0.0297;1
362941;6965863;0.000001;0.14517581;0.0551;1
362095;6968169;0.007584848;0.049902444;0.0118;1
362178;6968145;0.4623816;0.028393242;0;0
362286;6967916;0.9999909;0;0;0
362286;6967916;0.9853982;0;0;0
362286;6967916;0.8392342;0;0;0
363351;6967886;0.000001;0.023599902;0.0034;1
363351;6967886;0.02943633;0.022224868;0.0011;1
363433;6967896;0.6045108;0.023565221;0;0
362250;6968152;0.8705232;0;0;0
362250;6968152;0.9975726;0;0;0
363559;6967910;0.9528519;0;0;0
363618;6967698;0.7662828;0;0.0003;1
363185;6967549;0.9635904;0;0;0
363185;6967549;0.999999;0;0;0
363155;6967518;0.4869198;0.00900781;0.0006;1
363559;6967910;0.3540585;0.032990609;0;0
